locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Łódź Bałuty,ul. gen. Józefa Bema,3,86,999000,11616,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-gen-jozefa-bema-3-pokojowe-h5z6c5,https://s2.adresowa.pl/oi/59/37/3ac016_c9fb_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-gen-jozefa-bema.jpg
Łódź Retkinia,ul. Retkińska,1,31,326000,10516,Bez pośredników,4 dni temu,5,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-retkinska-1-pokoj-a3l0p9,https://s2.adresowa.pl/oi/49/3e/3abfa0_e464_cover-1-pokojowe-mieszkanie-lodz-retkinia-ul-retkinska.jpg
Łódź Górna,ul. Poetycka,3,66,729900,11078,Oferta biura nieruchomości,5 dni temu,16,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-poetycka-3-pokojowe-e6d1h0,https://s2.adresowa.pl/oi/77/56/3abd34_ff74_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-poetycka.jpg
Łódź,ul. św. Teresy od Dzieciątka Jezus,3,67,999000,14928,Oferta biura nieruchomości,5 dni temu,21,https://adresowo.pl/o/mieszkanie-lodz-ul-sw-teresy-od-dzieciatka-jezus-3-pokojowe-z4s9u4,https://s2.adresowa.pl/oi/57/1a/3abd38_9fca_cover-3-pokojowe-mieszkanie-lodz-ul-sw-teresy-od-dzieciatka-jezus.jpg
Łódź Bałuty,,3,52,458000,8808,Bez pośredników,4 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-baluty-3-pokojowe-52-m2-h7z8m7,https://s2.adresowa.pl/oi/71/7a/3abf58_7b9e_cover-3-pokojowe-mieszkanie-lodz-baluty.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Bałuty,,2,47,389000,8277,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-47-m2-e6x2j0,https://s2.adresowa.pl/oi/25/57/3abf40_6685_cover-2-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Dąbrowa,,2,42,350000,8333,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-2-pokojowe-42-m2-g3w7k9,https://s2.adresowa.pl/oi/52/7e/3abf1c_7132_cover-2-pokojowe-mieszkanie-lodz-dabrowa.jpg
Łódź,ul. Pienista,4,98,1230000,12573,Oferta biura nieruchomości,5 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-ul-pienista-4-pokojowe-x2o6q3,https://s2.adresowa.pl/oi/65/54/3abd32_6927_cover-4-pokojowe-mieszkanie-lodz-ul-pienista.jpg
Łódź,al. 1 Maja,2,46,375000,8098,Oferta biura nieruchomości,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-al-1-maja-2-pokojowe-j2f9x1,https://s2.adresowa.pl/oi/5c/19/3abd2e_956b_cover-2-pokojowe-mieszkanie-lodz-al-1-maja.jpg
Łódź Retkinia,ul. Sprinterów,3,56,499000,8911,Bez pośredników,4 dni temu,13,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-sprinterow-3-pokojowe-p5q7i0,https://s2.adresowa.pl/oi/44/2d/3abeec_9571_cover-3-pokojowe-mieszkanie-lodz-retkinia-ul-sprinterow.jpg
Łódź Śródmieście,ul. Wierzbowa,3,59,620000,10508,Bez pośredników,5 dni temu,10,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-wierzbowa-3-pokojowe-i0i4j5,https://s2.adresowa.pl/oi/57/64/3abaea_3c7b_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-wierzbowa.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Teofilów,ul. Grabieniec,3,57,487000,8514,Bez pośredników,5 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-grabieniec-3-pokojowe-h7m7i2,https://s2.adresowa.pl/oi/12/1b/3ab82e_db08_cover-3-pokojowe-mieszkanie-lodz-teofilow-ul-grabieniec.jpg
Łódź Teofilów,ul. Łanowa,3,46,395000,8522,Oferta biura nieruchomości,5 dni temu,16,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-lanowa-3-pokojowe-g3t6f8,https://s2.adresowa.pl/oi/48/36/3abd2a_2d25_cover-3-pokojowe-mieszkanie-lodz-teofilow-ul-lanowa.jpg
Łódź Górna,ul. Konspiracyjnego Wojska Polskiego,2,44,299000,6768,Oferta biura nieruchomości,5 dni temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-konspiracyjnego-wojska-polskiego-2-pokojowe-r6j2p7,https://s2.adresowa.pl/oi/27/62/3abd28_baf9_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-konspiracyjnego-wojska-polskiego.jpg
Łódź Dąbrowa,,2,37,276000,7459,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-2-pokojowe-37-m2-z6d7x9,https://s2.adresowa.pl/oi/7f/73/3ab744_3b8b_cover-2-pokojowe-mieszkanie-lodz-dabrowa.jpg
Łódź Retkinia,ul. Maratońska,3,42,499999,11905,Bez pośredników,5 dni temu,11,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-maratonska-3-pokojowe-i1b9v9,https://s2.adresowa.pl/oi/16/2d/3ab6ec_95e4_cover-3-pokojowe-mieszkanie-lodz-retkinia-ul-maratonska.jpg
Łódź Polesie,ul. Walerego Wróblewskiego,1,13,153000,11769,Bez pośredników,6 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-walerego-wroblewskiego-1-pokoj-z7w5r2,https://s2.adresowa.pl/oi/70/37/3ab662_f7cd_cover-1-pokojowe-mieszkanie-lodz-polesie-ul-walerego-wroblewskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Górna,ul. Rudzka,3,85,990000,11677,Oferta biura nieruchomości,5 dni temu,20,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-rudzka-3-pokojowe-q8s8g7,https://s2.adresowa.pl/oi/7a/6e/3abd0c_5b92_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-rudzka.jpg
Łódź Bałuty,ul. Zgierska,2,34,279000,8328,Oferta biura nieruchomości,5 dni temu,18,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-zgierska-2-pokojowe-m6l9q6,https://s2.adresowa.pl/oi/4d/1f/3abc46_541c_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-zgierska.jpg
Łódź Dąbrowa,ul. Juliusza Kossaka,2,37,280000,7621,Bez pośredników,6 dni temu,9,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-juliusza-kossaka-2-pokojowe-x1x4r8,https://s2.adresowa.pl/oi/4b/56/3ab320_4261_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-juliusza-kossaka.jpg
Łódź Retkinia,,2,42,379000,8934,Bez pośredników,6 dni temu,4,https://adresowo.pl/o/mieszkanie-lodz-retkinia-2-pokojowe-42-m2-t5t2k0,https://s2.adresowa.pl/oi/42/50/3ab1c8_c8e1_cover-2-pokojowe-mieszkanie-lodz-retkinia.jpg
Łódź Retkinia,ul. ks. Jerzego Popiełuszki,2,42,380000,8958,Bez pośredników,6 dni temu,17,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-ks-jerzego-popieluszki-2-pokojowe-r4p1g3,https://s2.adresowa.pl/oi/6d/49/3ab15c_d8b9_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-ks-jerzego-popieluszki.jpg
Łódź Górna,ul. Jana Kilińskiego,2,64,300000,4707,Oferta biura nieruchomości,5 dni temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-jana-kilinskiego-2-pokojowe-r0y5u5,https://s2.adresowa.pl/oi/37/4c/3abc44_320c_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-jana-kilinskiego.jpg
Łódź,al. Karola Anstadta,2,57,420000,7344,Oferta biura nieruchomości,6 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-al-karola-anstadta-2-pokojowe-w7a3y0,https://s2.adresowa.pl/oi/3a/55/3ab3a2_83fb_cover-2-pokojowe-mieszkanie-lodz-al-karola-anstadta.jpg
Łódź Śródmieście,ul. Andrzeja Struga,2,53,539000,10094,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-andrzeja-struga-2-pokojowe-o6a2x5,https://s2.adresowa.pl/oi/58/5a/39030c_6860_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-andrzeja-struga.jpg
Łódź Bałuty,ul. Młynarska,3,53,560000,10667,Bez pośredników,6 dni temu,11,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-mlynarska-3-pokojowe-q8q1o3,https://s2.adresowa.pl/oi/32/6f/3ab128_53d7_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-mlynarska.jpg
Łódź Bałuty,ul. Drukarska,1,36,230000,6389,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-drukarska-1-pokoj-m6p8v3,https://s2.adresowa.pl/oi/27/3f/3ab0be_ea45_cover-1-pokojowe-mieszkanie-lodz-baluty-ul-drukarska.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/srodmiescie-1/,
Łódź Retkinia,ul. Maratońska,3,53,400000,7547,Bez pośredników,ponad tydzień temu,1,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-maratonska-3-pokojowe-k0e4l2,https://s2.adresowa.pl/oi/4d/20/3aa958_a32d_cover-3-pokojowe-mieszkanie-lodz-retkinia-ul-maratonska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Polesie,ul. Cmentarna,2,48,440000,9167,Oferta biura nieruchomości,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-cmentarna-2-pokojowe-s9d3q6,https://s2.adresowa.pl/oi/30/23/3aafc2_8386_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-cmentarna.jpg
Łódź Widzew,ul. Stanisława Czernika,3,45,320000,7191,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-stanislawa-czernika-3-pokojowe-b9i8e1,https://s2.adresowa.pl/oi/2f/44/3aaa9e_53d2_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-stanislawa-czernika.jpg
Łódź Widzew,ul. Fiodora Dostojewskiego,2,52,389000,7481,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-fiodora-dostojewskiego-2-pokojowe-m8u6h4,https://s2.adresowa.pl/oi/50/7b/3aaf4a_7cde_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-fiodora-dostojewskiego.jpg
Łódź Arturówek,ul. Skrzydlata,4,92,1150000,12482,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-arturowek-ul-skrzydlata-4-pokojowe-q7w4s4,https://s2.adresowa.pl/oi/42/6d/3aaf2a_2d0a_cover-4-pokojowe-mieszkanie-lodz-arturowek-ul-skrzydlata.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Widzew,ul. Juliusza Jurczyńskiego,3,63,479000,7603,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-juliusza-jurczynskiego-3-pokojowe-l2p1y7,https://s2.adresowa.pl/oi/11/74/3aae72_70dd_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-juliusza-jurczynskiego.jpg
Łódź Doły,ul. Sporna,2,33,240000,7264,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-doly-ul-sporna-2-pokojowe-u5w1i8,https://s2.adresowa.pl/oi/68/24/3aaa98_9314_cover-2-pokojowe-mieszkanie-lodz-doly-ul-sporna.jpg
Łódź,ul. Mikołaja Gogola,1,33,260000,7995,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-ul-mikolaja-gogola-1-pokoj-g9y6o1,https://s2.adresowa.pl/oi/18/33/3aaa94_4b4c_cover-1-pokojowe-mieszkanie-lodz-ul-mikolaja-gogola.jpg
Łódź Koziny,ul. Michała Ossowskiego,3,55,375000,6803,Bez pośredników,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-lodz-koziny-ul-michala-ossowskiego-3-pokojowe-a2p3b3,https://s2.adresowa.pl/oi/2f/30/3aae5e_e047_cover-3-pokojowe-mieszkanie-lodz-koziny-ul-michala-ossowskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Dąbrowa,ul. Wincentego Kadłubka,2,37,239000,6447,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-wincentego-kadlubka-2-pokojowe-p3k1d1,https://s2.adresowa.pl/oi/33/4d/3aae20_ed3a_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-wincentego-kadlubka.jpg
Łódź Górna,ul. Stanisława Przybyszewskiego,2,72,530000,7361,Bez pośredników,ponad tydzień temu,21,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-stanislawa-przybyszewskiego-2-pokojowe-y9p1i1,https://s2.adresowa.pl/oi/15/6c/3aae1c_b438_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-stanislawa-przybyszewskiego.jpg
Łódź Widzew,al. marsz. Józefa Piłsudskiego,3,67,550000,8209,Oferta biura nieruchomości,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-widzew-al-marsz-jozefa-pilsudskiego-3-pokojowe-j8w7g7,https://s2.adresowa.pl/oi/26/37/3aa71a_e1c8_cover-3-pokojowe-mieszkanie-lodz-widzew-al-marsz-jozefa-pilsudskiego.jpg
Łódź,ul. Wawelska,2,37,289000,7736,Oferta biura nieruchomości,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-lodz-ul-wawelska-2-pokojowe-a0c4d2,https://s2.adresowa.pl/oi/7b/2d/3aa1cc_92e3_cover-2-pokojowe-mieszkanie-lodz-ul-wawelska.jpg
Łódź Śródmieście,ul. 6 Sierpnia,3,56,610000,10868,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-6-sierpnia-3-pokojowe-h2l0n8,https://s2.adresowa.pl/oi/1c/7b/3aae04_5e34_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-6-sierpnia.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
