locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Orunia Górna,ul. Wołyńska,3,72,1025000,14236,Bez pośredników,6 dni temu,15,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-wolynska-3-pokojowe-e4d6n1,https://s2.adresowa.pl/oi/75/75/3b1d9c_9cb7_cover-3-pokojowe-mieszkanie-gdansk-orunia-gorna-ul-wolynska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Ujeścisko,ul. Cedrowa,2,39,619000,15860,Bez pośredników,6 dni temu,10,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-cedrowa-2-pokojowe-o6o0s4,https://s2.adresowa.pl/oi/55/2c/3b1d8e_9f73_cover-2-pokojowe-mieszkanie-gdansk-ujescisko-ul-cedrowa.jpg
Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,3,51,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-3-pokojowe-d2h2y0,https://s2.adresowa.pl/development/668314/nowe-mieszkania-poludnie-vita-98f8_cover.jpg
Gdańsk Śródmieście,ul. Chmielna,1,35,839070,23723,Oferta biura nieruchomości,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-chmielna-1-pokoj-v1g7o9,https://s2.adresowa.pl/oi/5d/2c/3afb22_6737_cover-1-pokojowe-mieszkanie-gdansk-srodmiescie-ul-chmielna.jpg
Gdańsk Morena,ul. Franciszka Rakoczego,2,44,749000,17062,Oferta biura nieruchomości,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-franciszka-rakoczego-2-pokojowe-c3s5l0,https://s2.adresowa.pl/oi/63/1b/3af12e_6214_cover-2-pokojowe-mieszkanie-gdansk-morena-ul-franciszka-rakoczego.jpg
Gdańsk Orunia,,2,40,485000,12125,Bez pośredników,6 dni temu,4,https://adresowo.pl/o/mieszkanie-gdansk-orunia-2-pokojowe-40-m2-t1m6d1,https://s2.adresowa.pl/oi/4f/47/3b1d20_c667_cover-2-pokojowe-mieszkanie-gdansk-orunia.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Ujeścisko,ul. Niepołomicka,2,39,535000,13892,Bez pośredników,6 dni temu,8,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-niepolomicka-2-pokojowe-g6d4x3,https://s2.adresowa.pl/oi/27/1f/3b1cbc_b734_cover-2-pokojowe-mieszkanie-gdansk-ujescisko-ul-niepolomicka.jpg
Gdańsk Wrzeszcz,ul. Jesionowa,1,47,zapytaj o cenę,,Bez pośredników,,6,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-1-pokoj-g8y8d1,https://s2.adresowa.pl/development/671246/nowe-mieszkania-jesionowa-vita-3f7f_cover.jpg
Gdańsk,ul. Śląska,3,50,660000,13200,Oferta biura nieruchomości,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-gdansk-ul-slaska-3-pokojowe-r1o0z8,https://s2.adresowa.pl/oi/7d/54/3af060_fdf8_cover-3-pokojowe-mieszkanie-gdansk-ul-slaska.jpg
Gdańsk Letnica,ul. Sucha,3,60,780000,13000,Oferta biura nieruchomości,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-sucha-3-pokojowe-u1p3i7,https://s2.adresowa.pl/oi/71/2f/3aedec_e95d_cover-3-pokojowe-mieszkanie-gdansk-letnica-ul-sucha.jpg
