locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Katowice Brynów,ul. Ceglana,4,80,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-katowice-brynow-ul-ceglana-4-pokojowe-k0z7m6,https://s2.adresowa.pl/development/561699/nowe-mieszkania-ceglana-park-ba08_cover.jpg
Katowice Burowiec,ul. gen. Józefa Hallera,2,40,280000,7000,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-katowice-burowiec-ul-gen-jozefa-hallera-2-pokojowe-i6i8w9,https://s2.adresowa.pl/oi/3c/28/3aea86_58e7_cover-2-pokojowe-mieszkanie-katowice-burowiec-ul-gen-jozefa-hallera.jpg
Katowice Dąb,ul. Sportowa,2,36,285899,7942,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-katowice-dab-ul-sportowa-2-pokojowe-l4q0w5,https://s2.adresowa.pl/oi/6b/67/3aea22_6960_cover-2-pokojowe-mieszkanie-katowice-dab-ul-sportowa.jpg
Katowice Brynów,ul. Wrębowa,2,52,315000,6058,Bez pośredników,5 dni temu,4,https://adresowo.pl/o/mieszkanie-katowice-brynow-ul-wrebowa-2-pokojowe-z9w3u1,https://s2.adresowa.pl/oi/1a/18/3af728_63b7_cover-2-pokojowe-mieszkanie-katowice-brynow-ul-wrebowa.jpg
Katowice Brynów,ul. Ceglana,2,33,555000,16818,Bez pośredników,6 dni temu,8,https://adresowo.pl/o/mieszkanie-katowice-brynow-ul-ceglana-2-pokojowe-p3q2j8,https://s2.adresowa.pl/oi/41/2b/3af628_d358_cover-2-pokojowe-mieszkanie-katowice-brynow-ul-ceglana.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Katowice Brynów,ul. Ceglana,5,92,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-katowice-brynow-ul-ceglana-5-pokojowe-p0y8m2,https://s2.adresowa.pl/development/561699/nowe-mieszkania-ceglana-park-ba08_cover.jpg
Katowice Józefowiec,ul. prof. Jana Mikusińskiego,3,71,510000,7153,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-katowice-jozefowiec-ul-prof-jana-mikusinskiego-3-pokojowe-l5y6p7,https://s2.adresowa.pl/oi/56/37/3ade68_b5b3_cover-3-pokojowe-mieszkanie-katowice-jozefowiec-ul-prof-jana-mikusinskiego.jpg
Katowice Załęska Hałda,ul. Kredytowa,2,47,439000,9340,Oferta biura nieruchomości,ponad tydzień temu,25,https://adresowo.pl/o/mieszkanie-katowice-zaleska-halda-ul-kredytowa-2-pokojowe-t8f9n2,https://s2.adresowa.pl/oi/29/33/3ad31a_9a47_cover-2-pokojowe-mieszkanie-katowice-zaleska-halda-ul-kredytowa.jpg
